,coef
Age,0.18672991723573085
State,-7.602650739591562
completion_yr,-3.2633750144974263
HikedWDog,14.364239267828838
WinterHike,19.08433215751722
Under2KSpent,-5.352890910261753
SchoolCredit,-23.54463305851973
Minority,5.407687443175277
Vegetarian,-2.520508049920324
DehydrateOwnFood,9.511853552617128
Giardia,15.824035159117042
Lyme,5.615684615946025
Norovirus,83.75049567530398
Over2kSpent,5.352890910261964
SummerHike,-19.0843321575173
Sex_Female,2.0228424433562378
Sex_Male,-5.719162761629317
Sex_Other,3.6963203182731954
Country_African,-2.949008662849626
Country_Asia,-2.97653204642363
Country_Asian,4.210828930220051
Country_ENGLAND,16.998791325608863
Country_European,12.439085626643713
Country_Great Britain,12.265696637737696
Country_Israel,0.41096228323177675
Country_North American,3.821621358707721
Country_Oceania/Australia,3.8541072302970543
Country_Other,-42.07562487413512
Country_South American,-5.999927809038791
Race_African_American,5.53302683144912
Race_Asian,-4.092583441783862
Race_Caucasian,-5.271219631966055
Race_European_National,-4.456122845937493
Race_Hispanic,5.739083697550895
Race_Mixed_Nationality,-4.4792470984610215
Race_Mixed_Race,-2.9055911215493166
Race_Native_American,4.167273673891318
Race_Oceania,10.606298602606397
Race_Other,2.0514793346921794
Race_Unspecified,-6.892398000491912
Hike_Type_Flip,21.812236856063354
Hike_Type_NOBO,-7.18812591015751
Hike_Type_SOBO,-14.624110945906617
